type,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,commission,net_pnl,equity,peak,drawdown
Long,31-01-2025 21:00,03-02-2025 16:30,101567.6,98778.1,0.057392631,-160.0967449,2.299673377,-162.3964183,11496.06721,11658.46363,-0.013929487
Short,03-02-2025 16:30,04-02-2025 22:30,98778.1,96935.9,0.058191376,107.2001538,2.277773412,104.9223804,11600.98959,11658.46363,-0.004929812
Long,04-02-2025 22:30,07-02-2025 15:45,96935.9,98683.1,0.059838458,104.5497541,2.34110787,102.2086462,11703.19824,11703.19824,0
Short,07-02-2025 15:45,09-02-2025 22:30,98683.1,95696,0.059296872,177.1256855,2.305214511,174.820471,11878.01871,11878.01871,0
Long,09-02-2025 22:30,14-02-2025 18:45,95696,98306.5,0.062061208,162.0107833,2.408005899,159.6027774,12037.62149,12037.62149,0
Short,14-02-2025 18:45,16-02-2025 09:45,98306.5,97258.1,0.061224952,64.18823968,2.39468665,61.79355303,12099.41504,12099.41504,0
Long,16-02-2025 09:45,17-02-2025 15:00,97258.1,96777.6,0.062202609,-29.8883534,2.413905338,-32.30225874,12067.11278,12099.41504,-0.002669737
Short,17-02-2025 15:00,17-02-2025 17:15,96777.6,95594,0.062344555,73.79101512,2.398664354,71.39235077,12138.50513,12138.50513,0
Long,17-02-2025 17:15,21-02-2025 14:15,95594,99111.9,0.06348989,223.3510848,2.472371244,220.8787136,12359.38385,12359.38385,0
Short,21-02-2025 14:15,21-02-2025 18:45,99111.9,96806.9,0.062350655,143.7182607,2.443133117,141.2751276,12500.65897,12500.65897,0
Long,21-02-2025 18:45,02-03-2025 18:45,96806.9,92551.9,0.064564917,-274.7237229,2.44518705,-277.1689099,12223.49006,12500.65897,-0.022172344
Short,02-03-2025 18:45,03-03-2025 15:45,92551.9,90627.9,0.066035868,127.0530096,2.419287411,124.6337222,12348.12379,12500.65897,-0.012202172
Long,03-03-2025 15:45,04-03-2025 18:45,90627.9,85748.7,0.0681254,-332.3974493,2.403145268,-334.8005945,12013.32319,12500.65897,-0.038984807
Short,04-03-2025 18:45,07-03-2025 01:30,85748.7,87078,0.070049594,-93.11692492,2.421288024,-95.53821294,11917.78498,12500.65897,-0.046627462
Long,07-03-2025 01:30,14-03-2025 16:30,87078,84358.9,0.068431665,-186.0725392,2.346342488,-188.4188817,11729.3661,12500.65897,-0.061700177
Short,14-03-2025 16:30,16-03-2025 03:00,84358.9,83917.3,0.06952062,30.70030589,2.339733158,28.36057273,11757.72667,12500.65897,-0.059431451
Long,16-03-2025 03:00,17-03-2025 19:30,83917.3,84376.6,0.07005544,32.17646337,2.357980627,29.81848275,11787.54515,12500.65897,-0.057046098
Short,17-03-2025 19:30,18-03-2025 15:00,84376.6,81781.3,0.069850795,181.2837679,2.321252277,178.9625156,11966.50767,12500.65897,-0.042729852
Long,18-03-2025 15:00,23-03-2025 12:00,81781.3,84630.1,0.073161638,208.4228732,2.434986108,205.9878871,12172.49556,12500.65897,-0.02625169
Short,23-03-2025 12:00,27-03-2025 14:15,84630.1,86406.1,0.071915876,-127.7225958,2.46004363,-130.1826394,12042.31292,12500.65897,-0.036665752
Long,27-03-2025 14:15,31-03-2025 15:45,86406.1,83469.9,0.069684391,-204.6073089,2.367541122,-206.97485,11835.33807,12500.65897,-0.053222867
Short,31-03-2025 15:45,02-04-2025 06:45,83469.9,84280,0.070895844,-57.43272346,2.378554158,-59.81127762,11775.52679,12500.65897,-0.058007517
Long,02-04-2025 06:45,02-04-2025 16:30,84280,86987,0.069859556,189.1098186,2.392927322,186.7168912,11962.24368,12500.65897,-0.043070953
Short,02-04-2025 16:30,03-04-2025 13:30,86987,81934.5,0.068758801,347.4038431,2.322967967,345.0808751,12307.32456,12500.65897,-0.015465938
Long,03-04-2025 13:30,09-04-2025 19:30,81934.5,82324,0.075104654,29.25326275,2.467315564,26.78594719,12334.1105,12500.65897,-0.013323175
Short,09-04-2025 19:30,10-04-2025 17:15,82324,78700,0.074911997,271.4810776,2.412525885,269.0685517,12603.17905,12603.17905,0
Long,10-04-2025 17:15,12-04-2025 16:30,78700,84918,0.080071023,497.8816224,2.620212135,495.2614102,13098.44046,13098.44046,0
Short,12-04-2025 16:30,15-04-2025 18:45,84918,84388.1,0.077124052,40.86803506,2.611514486,38.25652057,13136.69699,13136.69699,0
Long,15-04-2025 18:45,16-04-2025 16:30,84388.1,84814,0.077835009,33.14993018,2.633969383,30.5159608,13167.21295,13167.21295,0
Short,16-04-2025 16:30,20-04-2025 08:15,84814,84738.4,0.077624053,5.868378444,2.632268914,3.236109531,13170.44906,13170.44906,0
Long,20-04-2025 08:15,21-04-2025 02:15,84738.4,87229.9,0.077712401,193.6204473,2.672813901,190.9476334,13361.39669,13361.39669,0
Short,21-04-2025 02:15,28-04-2025 02:15,87229.9,93069.1,0.076587252,-447.2082826,2.761720994,-449.9700036,12911.42669,13361.39669,-0.033676869
Long,28-04-2025 02:15,01-05-2025 11:15,93069.1,96108.3,0.069364734,210.8132988,2.624447997,208.1888508,13119.61554,13361.39669,-0.0180955
Short,01-05-2025 11:15,05-05-2025 00:45,96108.3,94633.9,0.068254331,100.6341864,2.60379627,98.03039009,13217.64593,13361.39669,-0.010758663
Long,05-05-2025 00:45,07-05-2025 00:45,94633.9,97186.6,0.069835682,178.2695459,2.679183094,175.5903628,13393.23629,13393.23629,0
Short,07-05-2025 00:45,12-05-2025 15:45,97186.6,102576,0.068904748,-371.3552468,2.752918307,-374.1081651,13019.12812,13393.23629,-0.027932619
Long,12-05-2025 15:45,18-05-2025 06:45,102576,103454.6,0.063460888,55.75673632,2.614976972,53.14175935,13072.26988,13393.23629,-0.023964813
Short,18-05-2025 06:45,23-05-2025 13:30,103454.6,108716.7,0.063178775,-332.4530342,2.680944584,-335.1339788,12737.1359,13393.23629,-0.048987442
Long,23-05-2025 13:30,24-05-2025 12:00,108716.7,109192.6,0.058579482,27.8779754,2.553002776,25.32497263,12762.46088,13393.23629,-0.047096564
Short,24-05-2025 12:00,25-05-2025 01:30,109192.6,107878.2,0.058440136,76.81371529,2.537129432,74.27658586,12836.73746,13393.23629,-0.041550736
Long,25-05-2025 01:30,26-05-2025 00:00,107878.2,109000.1,0.059496439,66.74905477,2.580697304,64.16835746,12900.90582,13393.23629,-0.036759634
Short,26-05-2025 00:00,27-05-2025 02:15,109000.1,108368.7,0.059178413,37.36524983,2.572708114,34.79254171,12935.69836,13393.23629,-0.034161865
